transaction_id,sender_account,amount,sender_avg_amount,sender_max_amount,amount_to_sender_avg,amount_z_score,amount_deviation_from_baseline_30d,tx_frequency_7d,tx_frequency_30d,frequency_change_vs_avg_7d,sender_tx_count_24h,sender_volume_24h,same_day_count,rapid_transfer_count,is_new_recipient,unique_recipients_7d,hour,is_off_hours,counterparty_change_score_7d
51,ACC000002,1762.89,9143.501538461538,93913.29,0.19280250488114636,-0.30137493735649695,-0.30137493735649695,13,13,1.4238095238095239,0,0.0,0,0,1.0,12,9,0.0,0.0
52,ACC000002,1848.78,2168.472,3526.52,0.8525726871271567,-0.30285013398302807,-0.30285013398302807,5,5,0.5476190476190477,3,6354.849999999999,2,0,1.0,5,13,0.0,0.0
53,ACC000002,1198.82,8414.766486486486,93913.29,0.14246622314775095,-0.3369886739643589,-0.3369886739643589,11,37,0.338095238095238,0,0.0,0,0,1.0,11,9,0.0,1.0
54,ACC000002,71810.21,9228.258260869565,93913.29,7.78155616910893,2.6950180642725408,2.6950180642725408,9,23,0.5190476190476191,2,5001.0,1,0,0.0,9,13,0.0,1.0
55,ACC000002,2347.11,10597.545,93913.29,0.22147676655300827,-0.32914800562879987,-0.32914800562879987,13,48,0.2571428571428571,1,1792.84,0,0,1.0,13,11,0.0,1.0
56,ACC000002,1919.62,11167.711153846154,93913.29,0.17189019070742026,-0.3694100242384125,-0.3694100242384125,8,26,0.2761904761904761,1,3548.6,0,0,1.0,7,12,0.0,1.0
57,ACC000002,1622.7,6943.942105263158,93913.29,0.23368570408587871,-0.25934383122553345,-0.25934383122553345,6,19,0.2238095238095238,1,1332.36,0,0,1.0,6,12,0.0,1.0
58,ACC000002,1246.36,7811.544146341464,93913.29,0.1595536012663684,-0.3214087002044746,-0.3214087002044746,13,41,0.4904761904761905,4,8926.95,4,1,1.0,13,14,0.0,1.0
59,ACC000002,722.28,8810.006000000001,93913.29,0.0819840531323134,-0.36846448115695374,-0.36846448115695374,10,35,0.26190476190476186,0,0.0,0,0,1.0,10,13,0.0,0.9375
60,ACC000002,2936.87,7509.745294117647,93913.29,0.39107451517702446,-0.21151599199887453,-0.21151599199887453,15,17,1.5761904761904761,1,2438.03,1,0,1.0,14,9,0.0,1.0
61,ACC000002,989.79,9686.094516129033,93913.29,0.10218669643908877,-0.3752042847205856,-0.3752042847205856,12,31,0.6809523809523808,2,4633.91,2,0,0.0,11,12,0.0,1.0
62,ACC000002,956.94,2105.2075,3526.52,0.45455851739080355,-1.3651944571426338,-1.3651944571426338,8,8,0.8761904761904762,5,8827.63,0,0,1.0,7,8,1.0,0.0
63,ACC000002,1755.61,7513.652558139534,93913.29,0.23365599971722792,-0.2880292151231688,-0.2880292151231688,15,43,0.7095238095238094,2,2813.75,1,0,1.0,15,14,0.0,1.0
64,ACC000002,3715.25,10938.566739130434,93913.29,0.3396468740926972,-0.28271516462757806,-0.28271516462757806,15,46,0.6095238095238094,2,178331.4,0,0,1.0,15,10,0.0,1.0
65,ACC000002,2483.91,2671.3433333333337,3526.52,0.9298355509026044,-0.2757297273974679,-0.2757297273974679,3,3,0.3285714285714285,1,3526.52,0,0,1.0,3,10,0.0,0.0
66,ACC000002,1769.82,11171.189,93913.29,0.15842718263919803,-0.3407147079989928,-0.3407147079989928,10,10,1.0952380952380953,5,100869.53,2,0,1.0,9,13,0.0,0.0
67,ACC000002,2059.74,2111.7028571428573,3526.52,0.9753929124227433,-0.05780150679011531,-0.05780150679011531,7,7,0.7666666666666666,4,6767.89,4,0,1.0,6,17,1.0,0.0
68,ACC000002,2279.66,9002.074999999999,93913.29,0.25323717031906534,-0.3022497862559101,-0.3022497862559101,12,34,0.5809523809523809,5,10435.53,0,0,1.0,11,8,1.0,1.0
69,ACC000002,2962.1,10452.604285714286,93913.29,0.2833839222296344,-0.3087295412724355,-0.3087295412724355,10,28,0.49523809523809526,0,0.0,0,0,1.0,9,9,0.0,1.0
70,ACC000002,2273.87,8585.346944444444,93913.29,0.26485475947729936,-0.2910717423603768,-0.2910717423603768,11,36,0.37142857142857144,1,722.28,1,0,1.0,11,15,0.0,0.9411764705882353
71,ACC000002,1567.39,7655.230238095238,93913.29,0.20474759755756158,-0.30128203675514803,-0.30128203675514803,14,42,0.6000000000000001,3,5880.34,0,0,1.0,14,11,0.0,1.0
72,ACC000002,1470.77,8250.458,93913.29,0.17826525509250515,-0.29588149482308956,-0.29588149482308956,15,15,1.6428571428571428,1,3128.46,1,0,1.0,14,14,0.0,0.0
73,ACC000002,1792.84,10784.87914893617,93913.29,0.16623644783046523,-0.3554444047971227,-0.3554444047971227,13,47,0.29047619047619055,2,95704.04,1,0,1.0,13,17,1.0,1.0
74,ACC000002,3526.52,2243.755,2624.07,1.5717045755886894,3.372901410672731,3.372901410672731,2,2,0.21904761904761905,1,2624.07,1,0,1.0,2,16,0.0,0.0
75,ACC000002,3548.6,11472.4756,93913.29,0.3093142337997215,-0.3109449917331022,-0.3109449917331022,7,25,0.16666666666666663,0,0.0,0,0,0.0,7,17,1.0,1.0
76,ACC000002,2023.22,9555.76,93913.29,0.21172779559135013,-0.31794629075705455,-0.31794629075705455,8,22,0.4095238095238095,2,76669.12,0,0,1.0,8,12,0.0,1.0
77,ACC000002,3094.15,8224.873157894737,93913.29,0.3761942513399183,-0.24246192642270217,-0.24246192642270217,12,38,0.4476190476190476,1,1198.82,1,0,1.0,12,10,0.0,1.0
78,ACC000002,2233.37,9207.187272727273,93913.29,0.2425681083532963,-0.3093421200904541,-0.3093421200904541,11,33,0.4714285714285713,4,8202.16,4,0,1.0,10,14,0.0,1.0
79,ACC000002,1236.12,9802.449999999999,93913.29,0.12610316808552965,-0.3375385064528134,-0.3375385064528134,12,12,1.314285714285714,3,99830.79999999999,0,0,1.0,11,8,1.0,0.0
80,ACC000002,1915.89,9945.101333333332,93913.29,0.1926466041706832,-0.3414292779083096,-0.3414292779083096,11,30,0.5714285714285714,2,5680.12,1,0,1.0,10,8,1.0,1.0
81,ACC000002,4147.69,10316.51909090909,93913.29,0.40204355397887465,-0.23324870811476753,-0.23324870811476753,11,11,1.2047619047619047,5,100790.56999999999,3,0,1.0,10,15,0.0,0.0
82,ACC000002,2438.03,7826.7275,93913.29,0.3115005600999907,-0.24222633316437814,-0.24222633316437814,14,16,1.4666666666666668,0,0.0,0,0,1.0,13,9,0.0,1.0
83,ACC000002,4251.28,10429.168775510205,93913.29,0.40763363711045353,-0.24874382446826013,-0.24874382446826013,14,49,0.3666666666666667,2,4139.95,1,0,0.0,14,13,0.0,1.0
84,ACC000002,73691.34,6677.88,93913.29,11.035139894697119,3.3452926009921944,3.3452926009921944,7,20,0.33333333333333337,2,2955.06,1,0,1.0,7,13,0.0,1.0
85,ACC000002,344.42,2624.485,3526.52,0.13123336578414432,-3.8367617767676547,-3.8367617767676547,4,4,0.4380952380952381,2,6010.43,1,0,1.0,4,11,0.0,0.0
86,ACC000002,2751.74,11835.839583333334,93913.29,0.23249216759196947,-0.3501270076714847,-0.3501270076714847,8,24,0.34285714285714275,0,0.0,0,0,1.0,8,11,0.0,0.95
87,ACC000002,2718.02,10194.31103448276,93913.29,0.26662125481615806,-0.3130839384363662,-0.3130839384363662,10,29,0.46190476190476193,1,2962.1,0,0,1.0,9,8,1.0,1.0
88,ACC000002,1863.44,1863.44,1863.44,1.0,0.0,0.0,0,0,0.0,0,0.0,0,0,1.0,0,9,0.0,0.0
89,ACC000002,2977.78,9868.997142857143,93913.29,0.30173075915370184,-0.2847116140174446,-0.2847116140174446,8,21,0.44285714285714284,3,76646.4,2,0,1.0,8,14,0.0,1.0
90,ACC000002,91988.79,9137.450666666666,93913.29,10.06722699314528,3.6400186954710225,3.6400186954710225,16,45,0.7857142857142856,1,86342.61,1,0,1.0,16,17,1.0,1.0
91,ACC000002,86342.61,7382.787954545454,93913.29,11.695122565025095,3.991635735106808,3.991635735106808,15,44,0.6761904761904762,0,0.0,0,0,1.0,15,17,1.0,1.0
92,ACC000002,392.81,10825.18925925926,93913.29,0.03628666350235053,-0.42358483694641136,-0.42358483694641136,9,27,0.3857142857142858,2,5468.219999999999,1,0,1.0,8,14,0.0,1.0
93,ACC000002,2578.46,9414.335,93913.29,0.2738865782872609,-0.2989978738682015,-0.2989978738682015,12,32,0.6476190476190475,3,5623.7,3,0,1.0,11,13,0.0,1.0
94,ACC000002,3128.46,8616.314999999999,93913.29,0.36308561142437346,-0.23179578452713756,-0.23179578452713756,14,14,1.5333333333333332,0,0.0,0,0,1.0,13,13,0.0,0.0
95,ACC000002,93913.29,1977.622222222222,3526.52,47.4879827626892,105.52199532817077,105.52199532817077,9,9,0.9857142857142858,6,9784.57,1,0,1.0,8,8,1.0,0.0
96,ACC000002,3203.94,8093.3161538461545,93913.29,0.39587481065810143,-0.23390087593033465,-0.23390087593033465,13,39,0.5571428571428572,2,4292.97,2,0,1.0,13,11,0.0,1.0
97,ACC000002,1332.36,7255.696666666667,93913.29,0.18362950674619344,-0.28157429784888305,-0.28157429784888305,5,18,0.11428571428571432,0,0.0,0,0,1.0,5,17,1.0,1.0
98,ACC000002,1430.04,7971.08175,93913.29,0.17940350442397607,-0.3166840666713898,-0.3166840666713898,13,40,0.523809523809524,3,7496.91,3,1,1.0,13,13,0.0,1.0
99,ACC000002,2090.78,2115.19,3526.52,0.9884596655619591,-0.02513970207281988,-0.02513970207281988,6,6,0.657142857142857,4,8203.63,3,0,0.0,6,16,0.0,0.0
100,ACC000002,2624.07,1863.44,1863.44,1.4081859356888335,0.0,0.0,1,1,0.10952380952380952,1,1863.44,0,0,1.0,1,8,1.0,0.0
101,ACC000003,296.97,7091.69,48548.1,0.041875772911675505,-0.4870239729545427,-0.4870239729545427,7,18,0.4,0,0.0,0,0,1.0,6,9,0.0,0.9375
102,ACC000003,48548.1,342.0,342.0,141.95350877192982,0.0,0.0,1,1,0.10952380952380952,1,342.0,1,0,1.0,1,17,1.0,0.0
103,ACC000003,271.14,5523.735208333333,48548.1,0.049086350046422776,-0.47546672877610274,-0.47546672877610274,18,48,0.9714285714285715,3,25437.45,1,0,0.0,17,11,0.0,0.962962962962963
104,ACC000003,262.34,6397.978125,48548.1,0.04100357876731565,-0.43883228714268085,-0.43883228714268085,12,16,1.1809523809523808,1,162.06,0,0,1.0,11,12,0.0,1.0
105,ACC000003,250.54,24445.05,48548.1,0.01024910973796331,-1.0037945405249542,-1.0037945405249542,2,2,0.21904761904761905,2,48890.1,0,0,1.0,2,11,0.0,0.0
106,ACC000003,281.36,5219.656304347826,48548.1,0.05390393228872849,-0.4534197313101747,-0.4534197313101747,17,46,0.8952380952380949,1,402.35,1,0,1.0,16,16,0.0,0.9615384615384616
107,ACC000003,210.06,8459.183333333332,48548.1,0.024832184351917346,-0.5284671886577971,-0.5284671886577971,12,12,1.314285714285714,1,129.69,0,0,1.0,12,9,0.0,0.0
108,ACC000003,6763.59,5679.08725,48548.1,1.1909642698305085,0.09379190245300881,0.09379190245300881,17,40,1.0952380952380951,3,9112.23,2,0,1.0,15,10,0.0,0.9523809523809523
109,ACC000003,235.15,7283.602857142857,48548.1,0.03228484647119303,-0.47832460458633114,-0.47832460458633114,11,14,1.1047619047619048,0,0.0,0,0,1.0,10,12,0.0,1.0
110,ACC000003,213.19,6773.8603125,48548.1,0.03147245295368644,-0.5199964223513217,-0.5199964223513217,13,32,0.7904761904761906,3,30486.98,2,0,1.0,12,10,0.0,0.9375
111,ACC000003,162.06,6813.706,48548.1,0.023784413357429864,-0.463716478326808,-0.463716478326808,12,15,1.2142857142857142,1,235.15,1,0,1.0,11,14,0.0,1.0
112,ACC000003,5054.01,5453.979534883721,48548.1,0.9266646432525992,-0.035675171171929206,-0.035675171171929206,18,43,1.1380952380952383,2,594.04,2,0,1.0,17,17,1.0,0.9565217391304348
113,ACC000003,353.59,10102.692,48548.1,0.034999582289552134,-0.5866361390221685,-0.5866361390221685,10,10,1.0952380952380953,4,1052.68,3,0,1.0,10,14,0.0,0.0
114,ACC000003,331.65,6896.115652173913,48548.1,0.04809229089646307,-0.484993008301336,-0.484993008301336,8,23,0.3761904761904761,1,172.32,0,0,1.0,8,12,0.0,0.9411764705882353
115,ACC000003,225.94,5578.456666666667,48548.1,0.04050224165943149,-0.47305840579420666,-0.47305840579420666,17,42,1.0285714285714285,1,368.1,1,0,1.0,16,14,0.0,0.9545454545454546
116,ACC000003,29971.01,6734.073157894737,48548.1,4.450651084011952,1.7006077605168244,1.7006077605168244,6,19,0.2238095238095238,0,0.0,0,0,1.0,5,10,0.0,0.9411764705882353
117,ACC000003,252.32,14298.747142857143,48548.1,0.017646301279342854,-0.7664652940729261,-0.7664652940729261,7,7,0.7666666666666666,1,116.99,0,0,1.0,7,10,0.0,0.0
118,ACC000003,110.18,7539.436190476191,48548.1,0.014613824855919503,-0.5308112116758764,-0.5308112116758764,8,21,0.44285714285714284,2,30380.769999999997,2,0,1.0,7,17,1.0,0.9444444444444444
119,ACC000003,24753.74,5114.586170212766,48548.1,4.8398324275315225,1.8187301740023,1.8187301740023,18,47,1.004761904761905,2,683.71,0,0,0.0,17,10,0.0,0.9615384615384616
120,ACC000003,157.29,5416.539387755102,48548.1,0.029038836190424012,-0.4798967945522683,-0.4798967945522683,19,49,1.080952380952381,4,25708.59,2,1,1.0,18,13,0.0,0.9642857142857143
121,ACC000003,250.18,7824.635384615384,48548.1,0.03197337482228221,-0.4997204794620405,-0.4997204794620405,13,13,1.4238095238095239,0,0.0,0,0,0.0,13,9,0.0,0.0
122,ACC000003,172.32,7201.742727272727,48548.1,0.02392754178060689,-0.510802125660098,-0.510802125660098,8,22,0.4095238095238095,2,519.94,0,0,1.0,8,14,0.0,0.9411764705882353
123,ACC000003,254.06,6389.435588235294,48548.1,0.03976251055223003,-0.49734453151233105,-0.49734453151233105,15,34,1.0095238095238095,4,23620.32,4,0,0.0,14,15,0.0,0.9444444444444444
124,ACC000003,402.35,5326.707555555556,48548.1,0.07553446398242084,-0.4481736337282083,-0.4481736337282083,16,45,0.7857142857142856,0,0.0,0,0,1.0,15,14,0.0,0.96
125,ACC000003,544.22,6622.59625,48548.1,0.08217623111177887,-0.4565070966670837,-0.4565070966670837,7,24,0.19999999999999996,0,0.0,0,0,0.0,7,13,0.0,0.9375
126,ACC000003,228.53,6050.631388888888,48548.1,0.03776961201432009,-0.4823688693263888,-0.4823688693263888,16,36,1.0857142857142856,3,846.01,0,0,1.0,14,11,0.0,0.9473684210526316
127,ACC000003,342.0,342.0,342.0,1.0,0.0,0.0,0,0,0.0,0,0.0,0,0,1.0,0,15,0.0,0.0
128,ACC000003,215.0,16380.213333333333,48548.1,0.013125592177879654,-0.7106787390409666,-0.7106787390409666,3,3,0.3285714285714285,2,48798.64,1,0,1.0,3,16,0.0,0.0
129,ACC000003,129.69,9216.41,48548.1,0.014071639608046952,-0.5647005414172833,-0.5647005414172833,11,11,1.2047619047619047,3,1036.96,0,0,1.0,11,10,0.0,0.0
130,ACC000003,16828.21,16629.206,48548.1,1.0119671378176445,0.00967297448576374,0.00967297448576374,5,5,0.5476190476190477,1,33790.39,0,0,1.0,5,12,0.0,0.0
131,ACC000003,210.63,6881.560370370371,48548.1,0.03060788377399118,-0.5052630964203908,-0.5052630964203908,9,27,0.3857142857142858,2,26315.6,2,0,1.0,9,14,0.0,0.9444444444444444
132,ACC000003,210.6,5893.277297297297,48548.1,0.035735633905532124,-0.47581795769894647,-0.47581795769894647,15,37,0.9095238095238094,1,228.53,0,0,1.0,13,10,0.0,0.95
133,ACC000003,327.86,6214.139142857142,48548.1,0.05276032487570857,-0.4824167597066814,-0.4824167597066814,16,35,1.1190476190476188,5,23874.38,5,0,1.0,14,16,0.0,0.9444444444444444
134,ACC000003,264.09,6575.052121212121,48548.1,0.04016546106881881,-0.5058918453530026,-0.5058918453530026,14,33,0.8999999999999999,3,23356.23,3,0,1.0,13,13,0.0,0.9411764705882353
135,ACC000003,291.89,6379.4612,48548.1,0.04575464774360568,-0.4646926097773902,-0.4646926097773902,7,25,0.16666666666666663,0,0.0,0,0,1.0,7,13,0.0,0.9375
136,ACC000003,287.11,11193.312222222223,48548.1,0.02565013771616206,-0.6350141018138908,-0.6350141018138908,9,9,0.9857142857142858,3,765.5699999999999,2,0,1.0,9,13,0.0,0.0
137,ACC000003,25020.43,6037.058235294117,48548.1,4.144473852136203,1.3916520722743784,1.3916520722743784,13,17,1.2904761904761906,2,424.4,1,0,0.0,12,14,0.0,1.0
138,ACC000003,22867.05,6454.016333333333,48548.1,3.543072843168613,1.2989773019284567,1.2989773019284567,12,30,0.7142857142857142,1,7343.94,0,0,0.0,12,9,0.0,0.9375
139,ACC000003,126.71,5444.889318181818,48548.1,0.023271363768017153,-0.47983062017008093,-0.47983062017008093,19,44,1.2476190476190478,2,5279.95,0,0,1.0,18,12,0.0,0.9583333333333334
140,ACC000003,26023.71,6145.323846153846,48548.1,4.234717429299902,1.5410739090858523,1.5410739090858523,8,26,0.2761904761904761,1,291.89,1,0,1.0,8,13,0.0,0.9411764705882353
141,ACC000003,33790.39,12338.91,48548.1,2.738523094827663,1.0261196679003883,1.0261196679003883,4,4,0.4380952380952381,0,0.0,0,0,1.0,4,17,1.0,0.0
142,ACC000003,368.1,5705.538536585365,48548.1,0.06451625865633001,-0.4672861630532509,-0.4672861630532509,17,41,1.0619047619047617,0,0.0,0,0,1.0,15,12,0.0,1.0
143,ACC000003,396.26,12542.94375,48548.1,0.031592264774367655,-0.6839001873317572,-0.6839001873317572,8,8,0.8761904761904762,2,369.31,1,0,1.0,8,12,0.0,0.0
144,ACC000003,275.99,6983.4690322580645,48548.1,0.039520473095125935,-0.5255127877441036,-0.5255127877441036,12,31,0.6809523809523808,2,30210.989999999998,1,0,1.0,11,9,0.0,0.9375
145,ACC000003,214.2,5819.212564102564,48548.1,0.036809103919205916,-0.48002170802039357,-0.48002170802039357,16,39,0.9857142857142855,2,8898.03,1,0,1.0,14,10,0.0,0.95
